7.7G	Half Girlfriend (2017)
4.3G	Hamari Adhuri Kahani (2015)
3.8G	HanuMan (2024)
14G	Happy New Year (2014)
2.7G	Harom Hara (2024)
8.0G	Heads of State (2025)
7.9G	Heart Attack (2014)
2.2G	Heart Of Stone (2023)
4.7G	Hello Guru Prema Kosame (2018)
3.2G	Hello! (2017)
6.9G	Hi Nanna (2023)
5.5G	HIT꞉ The 1st Case (2020)
5.3G	HIT꞉ The 2nd Case (2022)
7.1G	HIT꞉ The 3rd Case (2025)
1.6G	Home By Spring (2018)
4.4G	Honest Thief (2020)
8.3G	How to Train Your Dragon (2025)
2.5G	Hunter Killer (2018)
3.6G	Hypnotic (2023)
2.1G	I Hate Luv Storys (2010)
1.7G	Ichata Vahanamulu Niluparadu (2021)
13G	Iddarammayilatho (2013)
6.9G	Inception (2010)
2.5G	Indiana Jones and the Dial of Destiny (2023)
8.9G	Infinite (2021)
2.8G	Instant Family (2018)
6.4G	Interstellar (2014)
6.9G	Iron Man 1 (2008)
5.1G	Iron Man 2 (2010)
3.6G	Iron Man 3 (2013)
5.0G	Ishq (2012)
2.8G	Ishq꞉ Not A Love Story (2021)
3.9G	Jaanu (2020)
6.6G	JAAT (2025)
6.9G	Jabilamma Neeku Antha Kopama (2025)
5.9G	JACK (2025)
3.5G	Jack Reacher (2012)
2.4G	Jack Reacher꞉ Never Go Back (2016)
7.2G	Jagame Thandhiram (2021)
5.3G	Jai Lava Kusa (2017)
8.6G	Jailer (2023)
6.3G	Jalsa (2008)
2.6G	Jana Gana Mana (2022)
8.3G	Janatha Garage (2016)
3.7G	Jathi Ratnalu (2021)
8.3G	Jawan (2023) [EXTENDED CUT]
5.2G	Jersey (2019)
2.2G	John Wick꞉ Chapter 1 (2014)
4.3G	John Wick꞉ Chapter 2 (2017)
2.4G	John Wick꞉ Chapter 3 - Parabellum (2019)
3.6G	John Wick꞉ Chapter 4 - Consequences (2023)
4.8G	Joker (2019)
4.9G	Josh (2009)
6.0G	Journey 2꞉ The Mysterious Island (2012)
11G	Julayi (2012)
2.4G	Jumanji꞉ The Next Level (2019)
2.4G	Jumanji꞉ Welcome to the Jungle (2017)
2.7G	Jungle Cruise (2021)
3.4G	Jurassic World (2015)
3.6G	Jurassic World꞉ Dominion (2022)
2.3G	Jurassic World꞉ Fallen Kingdom (2018)
4.0G	K.G.F꞉ Chapter 1 (2018)
9.0G	K.G.F꞉ Chapter 2 (2022)
3.2G	Kaithi (2019)
14G	Kalki꞉ 2898 AD (2024)
4.1G	Kanmani Rambo Khatija (2022)
8.2G	Kantara꞉ A Legend (2022)
2.8G	Karthikeya 2 (2022)
1.9G	Keedaa Cola (2023)
1.9G	Khaidi No. 150 (2017)
5.0G	Khaleja (2010)
3.8G	Khiladi (2022)
